club;league;country
1. FC Nürnberg;Bundesliga;Germany
1. FSV Mainz 05;Bundesliga;Germany
Bayer 04 Leverkusen;Bundesliga;Germany
FC Bayern München;Bundesliga;Germany
Borussia Dortmund;Bundesliga;Germany
Borussia Mönchengladbach;Bundesliga;Germany
Eintracht Frankfurt;Bundesliga;Germany
FC Augsburg;Bundesliga;Germany
FC Schalke 04;Bundesliga;Germany
Fortuna Düsseldorf;Bundesliga;Germany
Hannover 96;Bundesliga;Germany
Hertha BSC;Bundesliga;Germany
RB Leipzig;Bundesliga;Germany
SC Freiburg;Bundesliga;Germany
TSG 1899 Hoffenheim;Bundesliga;Germany
VfB Stuttgart;Bundesliga;Germany
VfL Wolfsburg;Bundesliga;Germany
SV Werder Bremen;Bundesliga;Germany
Arsenal;Premier League;England
Bournemouth;Premier League;England
Brighton & Hove Albion;Premier League;England
Burnley;Premier League;England
Cardiff City;Premier League;England
Chelsea;Premier League;England
Crystal Palace;Premier League;England
Everton;Premier League;England
Fulham;Premier League;England
Huddersfield Town;Premier League;England
Leicester City;Premier League;England
Liverpool;Premier League;England
Manchester City;Premier League;England
Manchester United;Premier League;England
Newcastle United;Premier League;England
Southampton;Premier League;England
Tottenham Hotspur;Premier League;England
Watford;Premier League;England
West Ham United;Premier League;England
Wolverhampton Wanderers;Premier League;England
Athletic Club de Bilbao;La Liga;Spain
Atlético Madrid;La Liga;Spain
CD Leganés;La Liga;Spain
Deportivo Alavés;La Liga;Spain
FC Barcelona;La Liga;Spain
Getafe CF;La Liga;Spain
Girona FC;La Liga;Spain
Levante UD;La Liga;Spain
Rayo Vallecano;La Liga;Spain
RC Celta;La Liga;Spain
RCD Espanyol;La Liga;Spain
Real Betis;La Liga;Spain
Real Madrid;La Liga;Spain
Real Sociedad;La Liga;Spain
Real Valladolid CF;La Liga;Spain
SD Eibar;La Liga;Spain
SD Huesca;La Liga;Spain
Sevilla FC;La Liga;Spain
Valencia CF;La Liga;Spain
Villarreal CF;La Liga;Spain
Atalanta;Serie A;Italy
Bologna;Serie A;Italy
Cagliari;Serie A;Italy
Chievo Verona;Serie A;Italy
Empoli;Serie A;Italy
Fiorentina;Serie A;Italy
Frosinone;Serie A;Italy
Genoa;Serie A;Italy
Inter;Serie A;Italy
Juventus;Serie A;Italy
Lazio;Serie A;Italy
Milan;Serie A;Italy
Napoli;Serie A;Italy
Parma;Serie A;Italy
Roma;Serie A;Italy
Sampdoria;Serie A;Italy
Sassuolo;Serie A;Italy
SPAL;Serie A;Italy
Torino;Serie A;Italy
Udinese;Serie A;Italy
Akhisar Belediyespor;Süper Lig;Turkey
Alanyaspor;Süper Lig;Turkey
Antalyaspor;Süper Lig;Turkey
Medipol Ba?ak?ehir FK;Süper Lig;Turkey
BB Erzurumspor;Süper Lig;Turkey
Be?ikta? JK;Süper Lig;Turkey
Bursaspor;Süper Lig;Turkey
Çaykur Rizespor;Süper Lig;Turkey
Fenerbahçe SK;Süper Lig;Turkey
Galatasaray SK;Süper Lig;Turkey
Göztepe SK;Süper Lig;Turkey
Kasimpa?a SK;Süper Lig;Turkey
Kayserispor;Süper Lig;Turkey
Atiker Konyaspor;Süper Lig;Turkey
MKE Ankaragücü;Süper Lig;Turkey
Sivasspor;Süper Lig;Turkey
Trabzonspor;Süper Lig;Turkey
Yeni Malatyaspor;Süper Lig;Turkey
Amiens SC;Ligue 1;France
Angers SCO;Ligue 1;France
AS Monaco;Ligue 1;France
AS Saint-Étienne;Ligue 1;France
Dijon FCO;Ligue 1;France
En Avant de Guingamp;Ligue 1;France
FC Nantes;Ligue 1;France
FC Girondins de Bordeaux;Ligue 1;France
LOSC Lille;Ligue 1;France
Montpellier HSC;Ligue 1;France
Nîmes Olympique;Ligue 1;France
OGC Nice;Ligue 1;France
Olympique Lyonnais;Ligue 1;France
Olympique de Marseille;Ligue 1;France
Paris Saint-Germain;Ligue 1;France
RC Strasbourg Alsace;Ligue 1;France
Stade Malherbe Caen;Ligue 1;France
Stade de Reims;Ligue 1;France
Stade Rennais FC;Ligue 1;France
Toulouse Football Club;Ligue 1;France
ADO Den Haag;Eredivisie;Netherlands
Ajax;Eredivisie;Netherlands
AZ Alkmaar;Eredivisie;Netherlands
De Graafschap;Eredivisie;Netherlands
Excelsior;Eredivisie;Netherlands
FC Emmen;Eredivisie;Netherlands
FC Groningen;Eredivisie;Netherlands
FC Utrecht;Eredivisie;Netherlands
Feyenoord;Eredivisie;Netherlands
Fortuna Sittard;Eredivisie;Netherlands
Heracles Almelo;Eredivisie;Netherlands
NAC Breda;Eredivisie;Netherlands
PEC Zwolle;Eredivisie;Netherlands
PSV;Eredivisie;Netherlands
SC Heerenveen;Eredivisie;Netherlands
Vitesse;Eredivisie;Netherlands
VVV-Venlo;Eredivisie;Netherlands
Willem II;Eredivisie;Netherlands
Os Belenenses;Liga Nos;Portugal
Boavista FC;Liga Nos;Portugal
CD Feirense;Liga Nos;Portugal
CD Tondela;Liga Nos;Portugal
CD Aves;Liga Nos;Portugal
FC Porto;Liga Nos;Portugal
CD Nacional;Liga Nos;Portugal
GD Chaves;Liga Nos;Portugal
Clube Sport Marítimo;Liga Nos;Portugal
Moreirense FC;Liga Nos;Portugal
Portimonense SC;Liga Nos;Portugal
Rio Ave FC;Liga Nos;Portugal
Santa Clara;Liga Nos;Portugal
SC Braga;Liga Nos;Portugal
SL Benfica;Liga Nos;Portugal
Sporting CP;Liga Nos;Portugal
Vitória Guimarães;Liga Nos;Portugal
Vitória de Setúbal;Liga Nos;Portugal
